Last tracked,Type,Reg Year,Emission Class,Livery,Branding,Name,Previous reg,Special features,,,,,
4314,GN15 CXL,2015,EURO VI,176,10:07,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4315,GN15 CXM,2015,EURO VI,2,10:48,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4316,GN15 CXO,2015,EURO VI,166,23:40,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4317,GN15 CXP,2015,EURO VI,166,8/2/22 15:30,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4318,GN15 CXR,2015,EURO VI,116,10:12,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4319,GN15 CXS,2015,EURO VI,191,9:11,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4264,GN64 DXE,2014,EURO VI,166,4/26/22 18:23,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4265,GN64 DXF,2014,EURO VI,177,9:33,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4266,GN64 DXG,2014,EURO VI,166,8:28,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4267,GN64 DXH,2014,EURO VI,116,9:51,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4268,GN64 DXJ,2014,EURO VI,132,9:30,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4269,GN64 DXK,2014,EURO VI,182,7/28/22 18:13,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4270,GN64 DXL,2014,EURO VI,132,9:54,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4271,GN64 DXM,2014,EURO VI,132,7/29/22 10:18,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4272,GN64 DXO,2014,EURO VI,700,10:03,Wright StreetLite DF,Arriva Journey Mark,,,"USB power, power sockets",Flickr,Edit,
4273,GN64 DXP,2014,EURO VI,116,9:21,Wright StreetLite DF,Arriva Journey Mark,Ivy Woolcock,,"USB power, power sockets",Flickr,Edit,
4261,GN64 DXR,2014,EURO VI,191,10:03,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
1656,GN64 DXT,2014,EURO VI,281,9:28,Wright StreetLite WF,Arriva Journey Mark,,,,Flickr,Edit,
1657,GN64 DXU,2014,EURO VI,281,9:44,Wright StreetLite WF,Arriva Journey Mark,,,,Flickr,Edit,
1658,GN64 DXV,2014,EURO VI,277,8/1/22 23:15,Wright StreetLite WF,Arriva Journey Mark,,,,Flickr,Edit,
1659,GN64 DXW,2014,EURO VI,281,9:37,Wright StreetLite WF,Arriva Journey Mark,,,,Flickr,Edit,
1660,GN64 DXX,2014,EURO VI,281,7:58,Wright StreetLite WF,Arriva Journey Mark,Stephen Dalley,,,Flickr,Edit,
1661,GN64 DXY,2014,EURO VI,277,9:58,Wright StreetLite WF,Arriva Journey Mark,,,,Flickr,Edit,
4233,KX13 DHC,2013,EURO VI,6,8/2/22 19:37,Optare Versa,Arriva Journey Mark,,,,Flickr,Edit,
4234,KX13 DHD,2013,EURO VI,402,9:55,Optare Versa,Arriva Journey Mark,,,,Flickr,Edit,
4071,SK15 GXR,2015,EURO VI,82,9:58,ADL Enviro200,Arriva Journey Mark,Saint Helena,,,Flickr,Edit,
4072,SK15 GXS,2015,EURO VI,334,8:48,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
4073,SK15 GXT,2015,EURO VI,89,6:31,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
4074,SK15 GXU,2015,EURO VI,82,7/28/22 11:48,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
4075,SK15 GXV,2015,EURO VI,89,9:45,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
6479,SN15 LNJ,2015,EURO VI,101,7/30/22 10:00,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets",Flickr,Edit,
6480,SN15 LNK,2015,EURO VI,166,8/2/22 17:53,ADL Enviro400,Arriva Journey Mark,,,"power sockets, USB power",Flickr,Edit,
6481,SN15 LNM,2015,EURO VI,101,9:53,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets",Flickr,Edit,
6482,SN15 LNO,2015,EURO VI,101,9:29,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets",Flickr,Edit,
6483,SN15 LNP,2015,EURO VI,101,8:48,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets",Flickr,Edit,
6484,SN15 LNR,2015,EURO VI,101,9:12,ADL Enviro400,Arriva Journey Mark,,,"power sockets, USB power",Flickr,Edit,
4106,SN17 MXE,2017,EURO VI,6X,9:30,ADL Enviro200 MMC,Arriva Journey Mark,,,USB power,Flickr,Edit,
4108,SN17 MXG,2017,EURO VI,6X,8/2/22 20:45,ADL Enviro200 MMC,Arriva Journey Mark,Ian Stevens,,USB power,Flickr,Edit,
6516,SN66 WJO,2016,EURO VI,5,7/29/22 6:39,ADL Enviro400 MMC,Arriva Journey Mark,,,USB power,Flickr,Edit,
