Last tracked,,Type,Reg Year,Emission Class,Livery,Name,Previous reg,Special features
6152,UUI 2909,7,"2,909",N/A,20 Jan 16:44,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,
6200,FJ08 LVL,6,8,EURO IV,21 Jan 16:30,Volvo B9TL Wright Eclipse Gemini,Arriva Journey Mark,
6203,FJ08 LVT,6,8,EURO IV,20 Jan 17:30,Volvo B9TL Wright Eclipse Gemini,Arriva Sapphire old,Ken D'Souza
6204,FJ58 KXF,7,58,EURO IV,16:16,Volvo B9TL Wright Eclipse Gemini,Arriva Sapphire,
6205,FJ58 KXG,402,58,EURO IV,21 Jan 18:25,Volvo B9TL Wright Eclipse Gemini,Arriva Sapphire old,
6237,YJ57 BKD,771,57,EURO IV,19 Jan 15:50,VDL/DAF DB250 East Lancs Myllennium Lowlander,Arriva Interurban,
6238,YJ57 BKE,402B,57,EURO IV,20 Jan 15:50,VDL/DAF DB250 East Lancs Myllennium Lowlander,Arriva Interurban,
6260,FD02 UKS,402,2,EURO III,21 Jan 16:56,VDL/DAF DB250 East Lancs Myllennium Lowlander,Arriva Interurban,
6301,LJ11 AEC,RRTW,11,EURO V,21 Jan 12:20,VDL DB300 Wright Gemini 2,Arriva Journey Mark,
6303,LJ11 AEY,RRTW,11,EURO V,21 Dec 18:19,VDL DB300 Wright Gemini 2,Arriva Journey Mark,
6305,LJ11 AEG,RRTW,11,EURO V,21 Jan 11:47,VDL DB300 Wright Gemini 2,Arriva Journey Mark,
6401,GN04 UDM,700,4,EURO III,21 Jan 16:43,Volvo B7TL Alexander ALX400,Arriva Interurban,
6402,GN04 UDP,191,4,EURO III,21 Jan 16:29,Volvo B7TL Alexander ALX400,Arriva Journey Mark,
6404,GN04 UDT,166,4,EURO III,16:30,Volvo B7TL Alexander ALX400,Arriva Interurban,
6406,GN04 UDV,71,4,EURO III,21 Jan 21:50,Volvo B7TL Alexander ALX400,Arriva Interurban,
6410,GN04 UDZ,140,4,EURO III,21 Jan 22:27,Volvo B7TL Alexander ALX400,Arriva Interurban,
6411,GN04 UEA,2,4,EURO III,16:31,Volvo B7TL Alexander ALX400,Arriva Interurban,
6412,GN04 UEB,191,4,EURO III,21 Jan 14:03,Volvo B7TL Alexander ALX400,Arriva Interurban,
6419,GN04 UEJ,700,4,EURO III,16:30,Volvo B7TL Alexander ALX400,Arriva Interurban,
6420,GN04 UEK,166,4,EURO III,21 Jan 14:25,Volvo B7TL Alexander ALX400,Arriva Interurban,
6421,GN04 UEL,182,4,EURO III,21 Jan 16:55,Volvo B7TL Alexander ALX400,Arriva Interurban,
6422,GN04 UEM,71,4,EURO III,21 Jan 20:50,Volvo B7TL Alexander ALX400,Arriva Interurban,
6428,GN04 UEV,140,4,EURO III,21 Jan 17:17,Volvo B7TL Alexander ALX400,Arriva Interurban,
6429,GN04 UEW,191,4,EURO III,21 Jan 17:38,Volvo B7TL Alexander ALX400,Arriva Interurban,
