,LineRef,OriginName,DestinationName,OriginAimedDepartureTime,VehicleRef,VehicleLocation.Longitude,VehicleLocation.Latitude
7447,132,Waterfront_Bus_Station,Hempstead_Valley_Shopping_Centre,2022-10-12T14:42:00+00:00,1609,0.529665,51.381093
7448,176,Plantation_Road,Village_Centre,2022-10-12T14:23:00+00:00,4290,0.546908,51.377458
7449,191,Lapwing_Road,Waterfront_Bus_Station,2022-10-12T14:04:00+00:00,6476,0.556175,51.430003
7455,166,Waterfront_Bus_Station,The_Kestrel_Shopping_Centre,2022-10-12T14:45:00+00:00,4270,0.531373,51.37987
7456,89,King_Street,Spice_Lounge,2022-10-12T14:19:00+00:00,4279,0.495381,51.234191
7457,176,Village_Centre,Plantation_Road,2022-10-12T14:12:00+00:00,4281,0.540995,51.376681
7459,700,Waterfront_Bus_Station,Bus_Station,2022-10-12T14:37:00+00:00,4299,0.494816,51.394855
7460,190,Waterfront_Bus_Station,Gravesend_Railway_Station,2022-10-12T14:32:00+00:00,4318,0.492748,51.395376
7461,116,Hempstead_Valley_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T13:51:00+00:00,4300,0.535591,51.397561
7462,6,Railway_Station,Chequers_Bus_Station,2022-10-12T13:30:00+00:00,6132,0.488643,51.268121
7463,72,Asda,Chequers_Bus_Station,2022-10-12T14:28:00+00:00,6438,0.419386,51.29859
7464,71,Railway_Station,Chequers_Bus_Station,2022-10-12T14:30:00+00:00,6447,0.440431,51.310581
7465,71,Lunsford_Park_Tesco,Chequers_Bus_Station,2022-10-12T14:29:00+00:00,6148,0.505865,51.280403
7467,177,King_Street,Village_Centre,2022-10-12T14:48:00+00:00,4291,0.544553,51.384545
7468,155,Waterfront_Bus_Station,Village_Surgery,2022-10-12T14:33:00+00:00,4272,0.480168,51.37172
7469,132,Hempstead_Valley_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:41:00+00:00,4293,0.592595,51.339901
7470,177,King_Street,Village_Centre,2022-10-12T14:24:00+00:00,4312,0.524328,51.384901
7472,182,Beechings_Green,Waterfront_Bus_Station,2022-10-12T14:38:00+00:00,1655,0.55466,51.384438
7473,145,The_George,Waterfront_Bus_Station,2022-10-12T14:43:00+00:00,1616,0.504018,51.363485
7474,145,Waterfront_Bus_Station,The_George,2022-10-12T14:40:00+00:00,4006,0.508343,51.379031
7475,176,Village_Centre,Plantation_Road,2022-10-12T14:35:00+00:00,4316,0.521485,51.3809
7479,9,Tesco,Chequers_Bus_Station,2022-10-12T14:45:00+00:00,4296,0.535668,51.277213
7480,101,Duncan_Road,The_Cannon,2022-10-12T14:29:00+00:00,6473,0.524253,51.385108
7482,693,Breton_Road,Linwood_Avenue,2022-10-12T15:28:00+00:00,6429,0.499335,51.370538
7483,5,The_Swan,King_Street,2022-10-12T13:46:00+00:00,6448,0.523006,51.273946
7484,79,Calder_Road_Corner,King_Street,2022-10-12T14:56:00+00:00,4460,0.512795,51.287826
7485,177,Village_Centre,Victoria_Street,2022-10-12T14:00:00+00:00,4222,0.544528,51.387101
7486,10,Hundred_of_Hoo_Academy_Grounds,Holiday_Village,2022-10-12T14:10:00+00:00,4317,0.529736,51.39377
7487,190,Gravesend_Railway_Station,Waterfront_Bus_Station,2022-10-12T14:20:00+00:00,3984,0.502581,51.391336
7488,141,Bligh_Way_Shops,Waterfront_Bus_Station,2022-10-12T14:49:00+00:00,6402,0.486931,51.393395
7489,116,Hempstead_Valley_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:21:00+00:00,4221,0.553768,51.373395
7491,82,Royal_Star_Arcade,Parade,2022-10-12T14:46:00+00:00,4048,0.528143,51.264236
7492,82,Parade,Royal_Star_Arcade,2022-10-12T14:48:00+00:00,4075,0.556585,51.242716
7493,7,Railway_Station,Chequers_Bus_Station,2022-10-12T13:40:00+00:00,4055,0.511053,51.270286
7494,700,Bus_Station,Waterfront_Bus_Station,2022-10-12T14:23:00+00:00,6477,0.507681,51.385231
7495,166,Waterfront_Bus_Station,The_Kestrel_Shopping_Centre,2022-10-12T14:35:00+00:00,4313,0.546591,51.371033
7496,6,Railway_Station,Chequers_Bus_Station,2022-10-12T13:30:00+00:00,6132,0.510521,51.270161
7497,101,Pudding_Lane,Duncan_Road,2022-10-12T14:12:00+00:00,6484,0.542843,51.389006
7501,140,Waterfront_Bus_Station,Bligh_Way_Shops,2022-10-12T14:37:00+00:00,4058,0.481881,51.392928
7502,658,Grammar_Schools,Boxley_Road,2022-10-12T15:30:00+00:00,6437,0.499373,51.371313
7503,182,Beechings_Green,Waterfront_Bus_Station,2022-10-12T14:18:00+00:00,4271,0.5239,51.384696
7504,347,Coldharbour_Lane_East,Bus_Hub,,1636,0.729229,51.34125
7505,164,Chatham_Grove,Waterfront_Bus_Station,2022-10-12T14:42:00+00:00,4007,0.531768,51.379956
7506,X2,Asda,Railway_Station,2022-10-12T14:55:00+00:00,4072,0.402508,51.27378
7507,71,Chequers_Bus_Station,Lunsford_Park_Tesco,2022-10-12T14:30:00+00:00,4074,0.490585,51.287971
7509,191,Waterfront_Bus_Station,Marina,2022-10-12T14:42:00+00:00,6405,0.524398,51.384503
7510,6,Hundred_of_Hoo_Academy_Grounds,Lapwing_Road,,6528,0.633978,51.450425
7513,191,Marina,Waterfront_Bus_Station,2022-10-12T14:19:00+00:00,6430,0.508095,51.385913
7514,659,Grammar_Schools,Bus_Depot,2022-10-12T15:30:00+00:00,6412,0.499288,51.371025
7515,334,Chequers_Bus_Station,Tesco,2022-10-12T14:50:00+00:00,4071,0.530436,51.27486
7516,700,Bus_Station,Waterfront_Bus_Station,2022-10-12T14:43:00+00:00,4219,0.408744,51.402128
7517,182,Beechings_Green,Waterfront_Bus_Station,2022-10-12T14:28:00+00:00,4273,0.526868,51.391728
7518,116,Waterfront_Bus_Station,Post_Office,2022-10-12T14:22:00+00:00,4059,0.554125,51.37333
7519,177,Village_Centre,Victoria_Street,2022-10-12T14:46:00+00:00,4308,0.523378,51.351258
7521,132,Waterfront_Bus_Station,Hempstead_Valley_Shopping_Centre,2022-10-12T14:30:00+00:00,4310,0.585318,51.367971
7523,85,Chequers_Bus_Station,Freeman_Way,2022-10-12T14:43:00+00:00,4066,0.53884,51.260228
7525,4,Chequers_Bus_Station,Pennine_Way,2022-10-12T14:41:00+00:00,6143,0.565453,51.264906
7527,695,Breton_Road,Littlecroft,2022-10-12T15:30:00+00:00,1652,0.499469,51.370373
7528,89,King_Street,Spice_Lounge,2022-10-12T14:49:00+00:00,4126,0.526138,51.271623
7529,182,Waterfront_Bus_Station,Beechings_Green,2022-10-12T14:19:00+00:00,4315,0.561101,51.381218
7530,132,Waterfront_Bus_Station,Hempstead_Valley_Shopping_Centre,2022-10-12T14:06:00+00:00,6411,0.573138,51.339388
7531,72,Chequers_Bus_Station,Asda,2022-10-12T14:50:00+00:00,6138,0.522418,51.273683
7532,7,Railway_Station,Chequers_Bus_Station,2022-10-12T14:05:00+00:00,6444,0.345986,51.232383
7533,85,Chequers_Bus_Station,Freeman_Way,2022-10-12T14:55:00+00:00,4056,0.527231,51.272968
7534,176,Plantation_Road,Village_Centre,2022-10-12T14:45:00+00:00,3988,0.54921,51.395501
7535,166,The_Kestrel_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:30:00+00:00,4319,0.540803,51.373976
