Last tracked,,Type,Livery,Name,Previous reg,Special features,,
4294,GN15 CWO,5,2 Dec 21:03,Wright StreetLite DF,Arriva Journey Mark,,,
4295,GN15 CWP,334,14:50,Wright StreetLite DF,Arriva Journey Mark,,,
4296,GN15 CWR,334,14:50,Wright StreetLite DF,Arriva Journey Mark,,,
4297,GN15 CWT,85,26 Nov 17:28,Wright StreetLite DF,Arriva Journey Mark,,,
4298,GN15 CWU,101,13:50,Wright StreetLite DF,Arriva Journey Mark,,,
4299,GN15 CWV,190,15:28,Wright StreetLite DF,Arriva Journey Mark,,,
4300,GN15 CWW,700,15:45,Wright StreetLite DF,Arriva Journey Mark,,,
4308,GN15 CXE,700,15:30,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4309,GN15 CXF,140,4 Dec 12:46,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4310,GN15 CXG,182,13:51,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4311,GN15 CXH,700,15:27,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4312,GN15 CXJ,190,15:05,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4313,GN15 CXK,191,15:13,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4314,GN15 CXL,140,15:57,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4315,GN15 CXM,166,15:35,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4316,GN15 CXO,182,15:31,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4317,GN15 CXP,182,6:25,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4318,GN15 CXR,176,15:58,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4319,GN15 CXS,700,15:47,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4450,MX61 AYJ,71,15:35,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,
4452,MX61 AYL,334,15:30,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,
4455,MX61 AXS,12,15:48,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,
4460,MX61 AXY,576,15:10,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,
4463,MX61 AYB,82,15:12,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,
4464,MX61 AXD,12,15:28,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,
4469,MX61 AXK,71,15:22,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,
4470,MX61 AXM,7,15:14,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,
4471,MX61 AXN,5,15:50,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,
6005,KL52 CWU,7,14:25,DAF DB250 Alexander ALX400,Arriva Interurban,,,
6007,KL52 CWW,402,15:38,DAF DB250 Alexander ALX400,Arriva Interurban,,,
6127,LJ51 DHN,402,3 Dec 17:25,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,
6129,LJ51 DHC,402,15:00,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,
6132,LJ03 MHV,402,15:34,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,
6135,LJ03 MJK,402,14:26,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,
6136,LF02 PSO,6,7:15,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,
6138,FJ06 ZPX,575,15:28,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,TUI 7931,power sockets
6139,FJ06 ZPW,12,11 Nov 18:13,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,TUI 7932,power sockets
6141,FJ56 OBD,7,15:15,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,TUI 7934,power sockets
6143,FJ56 OBC,71,2 Dec 5:50,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,TUI 7936,power sockets
6144,FJ56 OBE,4,15:42,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,TUI 7937,power sockets
6146,TUI 7939,71,14:29,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,FJ56 OBG,power sockets
6147,TUI 7940,5,15:50,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,FJ56 OBH,power sockets
6148,UUI 2908,12,11 Nov 13:04,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,FJ56 OBK,
6149,UUI 2907,643,15:08,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,FJ56 OBL,
6150,UUI 2905,6,15:35,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,FJ56 OBM,
